spectral_centroid_mean,spectral_bandwidth_mean,spectral_contrast_mean,spectral_flatness_mean,spectral_rolloff_mean,spectral_centroid_var,spectral_bandwidth_var,spectral_contrast_var,spectral_flatness_var,spectral_rolloff_var
1933.4934022982704,2718.52305883854,18.24270556821375,0.013402316,4399.670400700765,1267028.383922297,372905.3263022166,16.582366727964015,0.0016016664,7226974.78348056
1777.2510699552486,2232.01393162778,21.25256457495354,0.011419561,3570.3001511364737,766399.6479008795,374637.1859449378,27.432740313509285,0.00092040765,3581627.325926109
1881.743435968284,1760.8805720628104,19.503010121664822,0.0053593987,3954.8733527588456,131230.0090317442,75000.45045736375,18.406955687556362,2.3249393e-05,650514.5987920755
2013.461014567984,2186.438546581197,22.847048427301882,0.011540165,3932.8571930285675,606715.8088878896,150805.77166286626,23.007275480207973,0.0009615832,2050744.3075537346
1646.6618317763684,1852.814746151867,23.87390212331278,0.011538771,3314.1617825934354,494839.96797124634,209314.78823648466,30.58254097510541,0.001516121,2040546.0074168926
1593.637935237396,1856.7434507201856,23.714621294092325,0.0048911367,3164.548175572796,257179.2091988049,142380.75371744184,23.861433979382305,0.00013524252,1218255.5630216612
1174.0306894862379,1452.7154943823268,23.069920951948472,0.0010935985,2222.7402903514717,207560.72409057352,108225.77642465367,27.35025009881429,1.1890096e-05,1022348.1934558372
1983.3565438404005,2026.3516640559374,22.516024665419135,0.016243465,3944.003804130761,620173.3194431484,134888.75405940518,23.90153271285102,0.001983225,1603025.3884649836
1429.6167383224024,1879.6895817809016,22.044107231203085,0.0033337655,2615.6920583002516,318419.89372666716,237435.30180694954,34.976698159298174,8.536251e-05,2252550.450979035
1903.9617524934524,2156.6823569386074,20.57806019286253,0.014483029,3580.616406855151,1130972.502332511,253826.53355186424,24.3704263705328,0.0014282423,3688343.270161566
1339.6404170030253,1629.848629491675,23.25237776804662,0.003713352,2436.462752196698,479347.17249126366,384983.38653876085,41.15295537918676,0.00017284343,3065060.0747792902
